영단어,한국단어
Bilge Radius,빌지반지름
Bilge Separator,빌지분리기
Bilge Shore,빌지부 받침목
Bilge Shores,빌지받침목
Bilge Stringer,빌지부종통재
Bilge Well,빌지웰
Bilged Compartment,침수구획
Bill of Lading,선하증권
Bin,빈
Binnacle Lamp,비너클 등
Binocular (Glass),쌍안경
Biofouling,생물 오손
Biologic Shield,생체보호차폐
Bipot Mast,이각마스트
Bismuth Silicon Oxide,비스무트 규소 산화물
Bite Union,맞물림연결 유니온
Bitt,비트
Bitumastic (Bituminous Cement),역청질
Bituminous Enamel,역청에나멜
Black Carbon (BC),블랙카본
Black-out Test,블랙 아웃 시험
Blade Angle,날개각
Blade Angle Indicator,날개각 지시계
Blade Efficiency,날개효율
Blanced Rudder,평형타
Blank Flange,블랭크플랜지
Blank Plate,맹판(盲板)
Blast,폭풍
Blast Air,분사공기
Blast Furnace,용광로
Blast Heater,송풍가열기
Blast Pipe,송풍관
Bleached Tar,탈색(脫色) 타르도료
Blind Flange,막음플랜지
Blind Hull,선체(의장작업 않은)
Blind Plate,맹판(盲板)
Blister,부풀음
Block,블록
Block Assembly,블록 대조립(大組立)
Block Coefficient,방형 계수(方形係數)
Block Division,블록 분할(分割)
Block Inspection,블록 조립검사
Block Outfitting,블록의장
Block Shipbuilding,블록 건조방식
Bloom’s Taxonomy Verb,불름스 동사분류
Blow Hole,용접기공(熔接氣孔)
Blow Pipe,블로파이프
Blow Twin Deck,하부중갑판
Blowdown,배출(排出)
Blower,송풍기(送風機)
Blowhole,기공
Boat Cover,보트덮개
Boat Davit,단정대빗
Boat Deck,단정갑판
Boat Derrick,단정데릭
Boat Fall,보트펄
Boat Skate,보트스케이트
Boat Skid,보트스키드
Boatswain`s Chair,걸이의자
Body Plan,선체 정면선도
Boe Rudder,선수키
Boiler,보일러
Boiler Compound,보일러 청정제
Boiler Graphite,보일러흑연
Boiler Hosepower,보일러마력
Boiler Steel,보일러용 강재
Boiling Point,비등점
Bollard,볼러드
Bollard Test,볼라드시험
Bolster,볼스터
Bolt-Head Trimming,볼트 머리깍기
Bond,본드
Bonjean`s Curve,본전곡선
Bonnet,보닛
Booby Hatch,갑판 출입구
Booster,부스터
Booster Pump,가압(加壓) 펌프
Boot Topping,수선부
Boottop,수선부(水線部) 도장
Boring,보링
Boring Machine,보링머신
Boss,보스
Boss Plate,보스외판
Bosun (Boatswain) Store,갑판장 창고
Both-sides Welding,양면용접(兩面熔接)
Bottleneck,애로 공정(隘路工程)
Bottom Block,선저(船底) 블록
Bottom Board,선저깔판
Bottom Frame,선저늑골
Bottom Girder,선저거더
Bottom Heavy,보텀헤비
Bottom Longitudinal,선저종늑골
Bottom Paint,선저도료
Bottom Plug,선저 플럭(취출마개)
Bottom Shell Plating,선저 외판(船底外板)
Bottom Survey,선저 검사(船底檢査)
Bottom Transverse,선저트랜스버스
Bottoms,선복량
Boundary Layer,경계층(境界層)
Bow Anchor,선수닻
Bow Chock Screen,선수바람막이천막
Bow Construction,선수 구조(船首構造)
Bow Construction Profile,선수구조도
Bow Door,선수문(船首門)
Bow Propeller,선수프로펠러
Bow Roller,바우롤러
Bow Sea,선수측면파
Bow Sheave,선수시브
Bow Thruster,선수(船首) 스라스트
Bow Visor,상부힌지식 船首門
Bow Wave,선수파
Bow and Stern Construction,선수미(船首尾) 구조
Bowl,보울
Boxing,돌림용접
Brace,방진기(防振器)
Bracket (Bkt),브라켓트
Bracket Floor,조립 늑판(組立肋板)
Bracket Frame,브래킷늑골
Bracket Lamp,브래킷 등
Brain Storming,창조적 집단사고
Brake,제동기
Brake Disk,제동반
Brake Hose Power,제동마력
Brake Lining,브레이크 라이닝
Brake Shoe,브레이크 슈
Branch Anchor,보조앵커
Branch Box,분기함
Branched Pipe Fabrication,분지관(分枝管) 제작
Brass,황동(黃銅)
Brazing,경납접
Brazing Socket,브레이징 소켓
Breadth Draft Ratio,폭흘수비
Breakdown Maintenance,사후보전(事後保全)
Breaker,분기 개폐기
Breaking Joint,브레이킹 죠인트
Breaking Strength,파강도
Breaking the owner’s right to limit liability,선주 책임제한 배제
Breakwater,물결막이
Breast Hook,브레스트 훅
Breast Line,브레스트라인
Breath Depth Ratio,폭깊이비
Breath Length Ratio,폭길이비
Breathing Apparatus,호흡기(呼吸器)
Breathing Gas Apparatus,호흡보조기
Breathing Gas System,호흡가스장치
Breeches Pipe,쌍가닥 파이프
Brickwork,벽돌 공사
Bridge,선교
Bridge Deck,선교루갑판
Bridge House,선교갑판실
Bridge Maneuvering,항해선교 원격조정
Bridge Spot Welding,브리지스폿용접
Bridge type Relay,브리지형 계전기
Bridging Amplifier,분기 증폭기
Brightness,휘도
Brine,브라인
Brine System,브라인식
British Standard Institution,영국표준협회
Brittle Fracture,취성파괴(脆性破壞)
Broadside Torpedo Tube,현측어뢰발사관
Bronze Casting,청동 주물(靑銅鑄物)
Brush Coating,붓 도장(塗裝)
Bubbling,기포발생(氣泡發生)
Bucket Dredger,버킷식준설선
Buckler,호저파이프뚜껑
Buckling,좌굴
Buckling Load,좌굴하중
Budget Constraint,예산상의 제약(制約)
Buffer Spring,완충스프링
Build Strategy,건조 전략(建造戰略)
Build-up Frame,조립늑골
Build-up Propeller,조립프로펠러
Build-up Section,조립단면재
Build-up Welding,육성(덧붙이)용접
Builder's Certificate,건조(자) 증명서
Builder's Sea Trial,자체(自體) 시운전
Building Automation System,빌딩 자동화 시스템
Building Dock,건조 도크
Building Specification,건조 사양서(仕樣書)
Built-up Section,조립 단면재(斷面材)
Built-up Welding,육성 용접(肉盛熔接)
Bulb Tee,벌브티
Bulbe Plate,벌브판
Bulbous Bow,구상 선수(球狀船首)
Bulge,벌지
Bulging Schell,벌지외판
Bulkhead Block,격벽(隔壁) 블록
Bulkhead Deck,격벽갑판
Bulkhead Floor,격벽늑판
Bulkhead Liner,격벽 라이너
Bulkhead Piece,격벽관통 피스
Bulkhead Plan,격벽구조(隔壁構造)도
Bulkhead Recess,격벽골
Bulkhead Stiffener,격벽 보강재
Bulkhead Stool,격벽 스투울
Bulkhead Stuffing Box,격벽 패킹박스
Bulkhead(bhd),격벽(隔壁)
Bull1s Eye,눈알유리
Bulwark,불워크
Bulwark Freeing Port,불워크배수구
Bulwark Line,불워크선
Bulwark Net,불워크망
Bulwark Strake,불워크스트레이크
Bunkering,연료유 적재(積載)
Bunkering Station,연료공급지
Buoy Mooring,부표계류
Buoy Tender,부표설치선
Buoyancy,부력
Buoyancy Chamber,부력실
Buoyancy Curve,부력곡선
Buoyancy Tank,부력탱크
Buoyant Smoke Signal,부력식발연신호
Bureau Veritas : BV,프랑스선급협회
Burn Through,용락
Burner,버너
Burner Tip,버너팁
Burning Furnace,소각로(燒却爐)
Bursting,파열
Bursting Pressure,파열압
Bus Bar,모선(母線)
Bus Duct,버스덕트
Butt,버트
Butt Forge Weld,맞대기단접
Butt Joint,맞대기이음
Butt Welding,맞대기 용접
Butterfly valve,나비형 밸브
Buttering,버터링
Butterworth Pump,버터워스폄프
Buttock Line,종절선(縱截線)
By-pass Purifying,측류청정
Bypass Valve,바이패스 (우회)밸브
Byproduct,부산물(副産物)
C/H (Cargo Hold),화물창(貨物艙)
CAACE EC,선주협회
CABLE,공칭 단면적
CABLE SCHEDULE,케이블 스케줄
"CABLE TV, COMMUNITY ANTENNA TV",공동시청 TV
CAD-ADRA,합성어로서 미국 ADRA사에서 개발한 CAD 시스템
CANADIAN STANDARDS ASSOCIATION,카나다 표준협회
CANDELA,칸델라
CAPACITOR MOTOR,콘덴서 모터
CAPACITY,정전 용량
CAPACITY PLAN,용적도
CAPP (Computer Aided Process Planning),공정계획의 전산화
CAR(Corrective Action Request),시정조치 요구
CARBON EQUIVALENT,탄소 당량
CARBON STEEL PIPES FOR HIGH PRESSURE,고압배관용 탄소강 강관
CARBON STEEL PIPES FOR HIGH TEMPERATURE SERVICE,고온배관용 탄소강 강관
CARBON STEEL PIPES FOR ORDINARY PIPING,배관용 탄소강 강관
CARBON STEEL PIPES FOR PRESSURE SERVICE,압력 배관용 탄소강 강관
CARBON STEEL TUBES FOR GENERAL STRUCTURAL PURPOSE,일반구조용 탄소강 강관
CARBON STEEL TUBES FOR MACHINE STRUCTURAL PURPOSE,기계구조용 탄소강 강관
CARBONFIBER REINFORCED PLASTICS,탄소섬유 강화 플라스틱
CARGO CONTROL ROOM,화물관리실
CARGO GEAR SURVEY,하역 설비 검사
CARGO HOLD,화물창
CARGO OIL TANK,화물용 기름 탱크
CARGO TANK,화물 탱크
CASH AGAINST DOCUMENT,지급도 조건
CASH on DELIVERY,현금 상환 인도조건
CASR,통합감사 요약보고서
CATHOD-RAY TUBE,음극선 브라운관
CATHODE RAY TUBE,음극선관
CAUSE & EFFECT,면동시험
CBDR+RC,공통의 그러나 차별화된 책임과 개별 능력
CCI (Class Comment Item),선급(船級) 코멘트
CCR(Cargo Control Room),하역제어실
CCTV(Closed Circuit Television),폐쇄회로 TV
CCU(Central Control Unit),중앙 제어장치
CENTER LINE,중심선
CENTER OF BUOY,부력 중심
CENTER OF GRAVITY,무게 중심
CENTER TO CENTER,중심간
CENTRAL CONTROL ROOM,중안 제어실
CENTRAL CONTROL UNIT,중앙 제어 장치
CENTRAL PROCESSING UNIT,중앙처리장치
CENTRALIZED ADMINISTRATION & CONTROL CENTER,중앙집중 제어실
CEO(Chief Executive Officer),최고 경영자
CERTIFICATE OF ORIGIN,원산지 증명서
CERTIFIED PUBLIC ACCOUNTANT,공인회계사
CESA(Commitee of European Shipbuilders' Association),유럽 조선업자 협의회
CFR (Code of Federal Regulations),미국 연방규격집
CFW (Cooling Fresh Water),냉각청수(冷却淸水)
CGT (Compensated Gross Tonnage),표준화물선 환산톤수
CHAIN LOCKER,묘쇄고
CHARGE COUPLED DEVICE,전하 결합 소자
CHARGE TRANSFER LOGIC,전하 전송 소자
CHARTERED BASE,선박료 산출에 있어서의 기본이 되는 지표
CHECK VALVE,역지 밸브
CHEMICAL CONVERSION COATING,화성 피막 저리
CHEMICAL OXYGEN DEMAND,화학적 산소 요구량
CHEMICAL VAPOR DEPOSITION METHOD,화학 기상 성장법
CHIEF EXECUTIVE OFFICER,최고경영자
CHIEF OPERATING OFFICER,(기업의) 최고업무진행책임자
CHIEF PETTY OFFICER,해군 상사
CHINESE REGISTER OF SHIPPING,자유중국 선급
CHS (Continuous Hull Survey),선체계속검사
CI Code,해양사고 조사코드
CIC,집중점검제도
CIMS (Computer Integrated Manufacturing System),컴퓨터 통합(統合) 제조 시스템
CIP,위험물 컨테이너 점검 제도
CIRCUIT,약전류회로
CIRCULAR ERROR PROBABLE,확률 오차원
CITIZEN BAND TRANSCEIVER,생활 무선
CLAMP CIRCUIT,클램프 회로
CLASS COMMENT ITEM,선급 NCR
CLIENT REQUIREMENT ITEM,선주 요구 사항
CLOSED CIRCUIT TELEVISTION,폐쇄회로 T.V.
CLOSED CIRCUIT TV,폐쇄회로 TV
CMDS,공통해사데이터구조
CMP,국가해사개요
CMS(Continuous Machinery Survey),기관 계속검사
CNC (Computerized Numerical Control),컴퓨터 수치제어
CO2 Gas Shielded-arc Welding,탄산가스 아크용접
CO2 Meter,탄산가스미터
COAMING,코밍
COAXIAL CABLE,동축 케이블
CODE,코드
CODE DIVISION MULTIPLE ACCESS,부호 분할 다중 접속
CODERDECODER,부호기와 복호기
COFFERDAM,코퍼댐 ( 기름탱크 사이 또는 기름탱크와 화물창과를 구획하는 협소한 空所 )
COFI,OECD 수산위원회
COHERENT OSCILLATOR,코히어런트 발진기
COLD CATHODE DISCHARGE LAMP,냉음극 방전램프
COLD WATER,찬 물
COLLAR PLATE,보강재
"COLLECTOR RING, SLIP RING",슬립 링
COLREG(International Regulations for Preventing Collisions at Sea),해상 충돌방지에 관(關)한 국제협약
COMBAT INFORMATION CENTER,전투 상황실
COMBINED OF DIESEL AND GAS TURBINE,디젤 가스터어빈 복합운영
COMBINED OF DIESEL OR GAS TURBINE,디젤엔진 또는 가스터빈운영
COMITE DES ASSOCIATION D'ARMATEURS DES COMMUNAUTES EUROPEENNES,EC 선주협회
COMMERCIAL INTEREST REFERENCE RATES,상업 표준 금리
COMMERCIAL PAPER,상업 어음
COMMISSION INTERNATIONAL DE I'ECLAIRAGE,국제 조명 위원회
COMMISSION INTERNATIONALE DE REGE,유럽전기기기 통일 안전 규격
COMMITTEE OF E.E.C. SHIPBUILDERS ASSOCIATION,유럽조선업자 협의회
COMMON MODE REJECTION RATIO,동상 전압 제거비
COMMONWEALTH OF INDEPENDENT STATES,독립 국가연합
COMMUNICATION DECK,회선 감시 장치
COMMUTATOR,정류자
COMPENSATED GROSS RATED TONNAGE,1982년 IMO의 국제협약발효되어 CGT로 바꿔 사용
COMPENSATED GROSS TONNAGE,선박 작업량 표준단위
COMPENSATING MACHINE,보상기
COMPLEMENTARY TRANSISTOR LOGIC,상보 트랜지스터 논리
COMPOUND GENERATOR,복권 발전기
COMPOUND MOTOR,복권 전동기
COMPRESSED AIR,압축공기
COMPUTER AIDED DESIGN,컴퓨터 이용 설계
COMPUTER AIDED DESIGN AND MANUFACTURING,미국 IBM사에서 개발한 CAD/CAM 시스템
COMPUTER AIDED ENGINEERING,컴퓨터를 이용한 엔지니어링
COMPUTER AIDED INSTRUCTION,컴퓨터를 이용한 학습
COMPUTER AIDED LEARNING,컴퓨터
COMPUTER AIDED MANUFACTURING,컴퓨터 이용 생산
"COMPUTER AIDED TESTING, COMPUTERIZED",컴퓨터를 이용한 검사
COMPUTER INTEGRATED MANUFACTURING,컴퓨터를 이용한 통합 생산 시스템
COMPUTER INTEGRATED MANUFACTURING SYSTEM,( 일본의) 조선생산 일관 시스템
COMPUTER NUMERICAL CONTROL,컴퓨터 수치 제어
COMPUTERIZED SHIP DESIGN & PRODUCTION SYSTEM,국제연구사업으로 추진중인 조선전산 시스템
CONCESSION,허용
CONDENSATE & DRAIN,농축 / 배수
CONDENSER,콘덴서
CONDUCTION CURRENT,도전 전류
CONDUCTIVITY,도전율
CONDUCTOR,단선
CONDUCTOR MULTI,다심
CONDUCTOR SINGLE,단심
CONFIRM CODE,담당자 확인란
CONSTANT ANGULAR VELOCITY,정 각속도
CONSTANT LINEAR VELOCITY,정 선속도 방식
CONSTANT SPEED DRIVE UNIT,정속 구동장치
CONSTANT VOLTAGE CONSTANT FREQUENCY,정전압 정주파 전원
CONTAINER FREIGHT STATION,콘테이너 집하장
CONTAINER SAFETY CODE,컨테이너 안전협약
CONTINUITY TEST,도통 시험
CONTINUOUS MACHINERY SURVEY,계속 검사
CONTINUOUS RATING,연속 정격
CONTRACT,계약
CONTRACT AWARD,계약 발효
CONTRACT OF AFFEREIGHTMENT,해상운송계약
CONTROL AIR,조정용 공기
CONTROL CIRCUIT,제어회로
CONTROL PANEL,제어반
CONTROLLABLE PITCH PROPELLER,가변 피치 프로펠러
CONVENTION OF THE INTERNATIONAL TRADE OF ENDANGERED SPECIES,멸종위기에 처한 야생동식물의 국제거래에 관한 협약
CONVERSION SURVEY,개조 검사
COOLING SEW WATER,해수 냉각수
COPPER,동
COPPER NIKEL,백동
COPT (Cargo Oil Pump Turbine),화물유펌프구동(驅動) 터어빈
CORE,배전용 변압기 코어
CORE LOSS,철손
CORE TYPE TRANSFORMER,내철형 변압기
CORELOSS CURRENT,철손 전류
CORRECTIVE ACTION,시정 조치
CORRECTIVE ACTION REQUEST,시정 조치 요구서
COSPAS-SARSAT,수색구조 위성시스템
COST AND FREIGHT,운임포함 가격
COST INSURANCE AND FREIGHT,"운임,보험료 포함가격"
COT (Crude Oil Tanker),원유 운반선
COT(Cargo Oil Tank),화물유 탱크
COUNCIL OF EEC BUILDERS OF LARGE SHIPS,EEC 대형조선소 평의회
COUNTER WEIGHT,균형추
COW( Crude Oil Washing),원유 세정(原油洗靜)
COderDECoder,부호기와 복호기
CPP(Controllable Pitch Propeller),가변피치 프로펠러
CPU(Central Processing Unit),중앙 처리장치
CREDIT NOTE,대변표
CRI (Client Request Item),선주 요구사항
CRITICAL DAMPING RESISTANCE EXTERNAL,임계 제동 외부저항
CRITICAL FUSION FREQUENCY,임계 융합 주파수
CRITICAL TEMPERATURE RESISTOR,임계 온도 저항기
CRT(Cathod Ray Tube),음극선 브라운관
CS (Customer Satisfaction),고객 만족
CSC 1972,안전한 컨테이너를 위한 국제협약
CSD,지속개발위원회
CSDP (Computerized Ship Design and Production System),선박설계/생산 전산 시스템
CSP,통신 서비스 제공자
CSS Code,화물 적재 및 고박 안전실무규칙
CTR,LRIT 적합성 시험 리포트
CTU Code,화물운송기구 수납 실무지침
CUMULATE ISSUE QUANTITY,총불출 누적 수량
CURIE POINT,퀴리점
CURIE TEMPERATURE,퀴리 온도
CURRENCY ADJUSTMENT FACTOR,통화싯세 변동할증료
CURRENT CONTROLLED NEGATIVE RESISTANCE,전류제한 負 저항
CURRENT MODE LOGIC,전류 논리 모드
CURRENT STANDING WAVE RATIO,전류 정재파 비
CURRENT TO PNEUMATIC,전류 - 공기압 전환기 .
CURRENT TRANSFORMER,계기용 변류기
CUSTODY TRANSFER SYSTEM,화물통관 계량장치
CUSTOM HOUSE,세관
CUSTOMS COOPERATION COUNCIL NOMENCLATURE,관세협력이사회 품목분류집 (88년부로 H.S.로 바뀜)
CVS(Clear View Screen),클리어 뷰 스크린
CYCLIC DIGITAL TRANSMISSION,사이클릭 디지털 정보 전송
Cabin,선실
Cabin Door,선실문
Cabin Passenger,선실여객
Cabin Plan,선실배치도
Cabin Stores,선실용품
Cable,공칭 단면적
Cable Bundle,전선(電線) 다발
Cable Burying Equipment,케이블매설기
Cable Clench,케이블 크렌치
Cable Duct,케이블 관로(管路)
Cable Dynamometer,장력계
Cable Hanger,케이블걸이
Cable Hauling Gear,케이블인양장치
Cable Length Measuring Device,케이블길이측정장치
Cable Picking and Laying Machine,케이블부설기
Cable Precutting,케이블 선행절단
Cable Recess,케이블리세스
Cable Schedule,케이블 스케줄
Cable Socket,케이블소켓
"Cable TV, Community",공동시청 TV
Cable Tie,전선결속(電線結束)띠
