영단어|한국단어|설명
Non Gas-shielded Arc Welding|논 가스쉴드 아크용접|외부에서 아크분위기를 보호하는 가스를 공급하지 않고 진행하는 용접
Notch Brittleness|놋치 취성|흠이 없을 때는 충분한 연성을 나타내는 재료라도 연신부에 흠(놋치)이 있을 때 부분적으로 취약해져 파괴되기 쉬운데 이러한 취약성을 말함
Seal Weld|누설방지용접|담겨져있는 유체의 누설을 막기위해 행하는 용접
Earth Detector|누전검출기|전기기기의 누전발생을 검출하는 계측기
Rain and Snow Clutter|눈비클러터|레이더 전파가 눈과 비에 반사되어 목표물이 흐려지는 현상
Bull1s Eye|눈알유리|반구형 렌즈로 된 채광유리
Frame|늑골|외판의 안쪽에 일정간격으로 붙이는 횡방향 또는 종방향의 골재
Frame Space|늑골간격|늑골과 늑골 사이의 간격
Frame Work|늑골구조|형재 등을 조합하여 만든 늑골의 보강기능을 갖도록 짜인 구조
Frame Section|늑골단면|선체의 횡늑골 위치에서 교차되는 횡단면
Frame Line|늑골선|늑골의 형상과 위치를 나타내는 곡선
Frame Body Plan|늑골정면도|선체의 각 횡단늑골의 형상을 나타내는 정면선도
Floor Timber|늑재목|목선에 붙이는 횡방향의 내부 각재
Floor|늑판|선저의 횡늑골 위치에 붙는 가로부재
Knee|니|갑판보와 늑골의 연결부에붙이는 삼각형 판
Nipple Joint|니플이음|연결하는 두 관에 암나사를 파고 사이에 짧은 관모양의 이음쇠뭉치를 끼워 연결하는 이음매로 연결관 양 끝은 숫나사가 파져있음
Tuna Long Liner|다랑어주낙어선|주낙을 사용하여 다랑어를 낚는 어선
Leg Length|다리길이(각장)|필렛용접의 루트로 부터 한 직각변의 끝까지의 거리
Group Occulting Light|다명암등|일정한 간격으로 점멸하는 항로표시등
Multi-purpose Cargo Ship|다목적화물선|여러 종류의 화물을 실을 수 있는 화물선
Group Flsshing Light|다섬광등|여러 빛깔로 일정 간격마다 섬광을 보내는 항로표시 등
Multi-chanel Echo Sounder|다소자 음향측심기|항만과 항로의 측심을 위해 여러 방향의 음파송수신기를 배치하는 음향측심기
Downton Pump|다운톤 펌프|손으로 돌리는 크랭크식 펌프로 갑판청소 등에 사용됨
Diamond Plate|다이아몬드 판|마름모꼴 판재로 두 부재가 ＋자형으로 교차할 때의 연결보강판으로 사용함
Diaphram Plate|다이아프램 판|파형격벽의 스툴 속에 설치되는 종방향의 보강판
Dial Gauge|다이얼 게이지|기어장치로 미소변위를 확대하여 길이 각도 등을 나타내주는 계측기
Dial Switch|다이얼 스위치|회전식 스위치로 기계제어장치 등에 사용됨
Dial Thermometer|다이얼 온도계|회전바늘로 온도를 나타내는 온도계
Diecasting|다이캐스팅|금형에 녹인 쇳물을 부어 압력을 가하면서 성형시키는 방법
Multiple-electrode Spot Welding Machine|다전극 점용접기|많은 전극이 동시에 작동되는 점용접기
Multiple Resistance Welding|다점저항용접|동시에 여러 점을 용접하는 저항용접방식
Multiple Diesel Enhine|다중 디젤기관|감속장치를 통해서 한 개의 추진축을 2대 이상의 디젤엔진으로 돌리는 방식
Multiple Screw Ship|다축선(다추진기선)|두개이상의 추진축과 추진기를 갖춘 배
Multiplex Safty Glass|다층안전유리|두장이상의 유리판을 접착하여 겹쳐진 안전유리
Multi-layer Weld|다층용접|한 용접선에 용접비드를 여러번 겹치게하는 용접
Short International Voyage|단거리국제항해|선박의 항해중 여객과 화물의 안전상의 도움을 받을 수 있는 항구
Short Floor Frame|단늑판|장단늑판구조방식의 목선에서 짧은 쪽의 늑판
Single Acting Engine|단동기관|왕복동 기관에서 한 쪽에서만 연소가스나 증기가 작용하여 일을 행하는 기관
Short Circuit Current|단락전류|회로의 두 점 사이가 무시될 정도의 임피던스를 통하여 고의나 사고로 접속되는 경우에 흐르는 전류
Section Modulus|단면계수|단면 중립축에 관한 2차 모멘트를 중립축에서 가장 먼곳 까지의 거리로 나눈 값
Single Anchor Mooring|단묘박|한쪽 닻 만을 사용하는 묘박
Single Wire System|단선긷 배선방식|지기류나 단상교류 배선에서 한 가닥 만을 배선하고 다른 가닥은 선체로 대신하는 배선방식
Single Operator Welding Machine|단식 아크용접기|1인의 용접공이 사용하도록 제작된 아크용접기
insulated Hold|단열화물창|주위를 단열시공한 화물창
Monolithic Ship|단일재구조선|통나무 처럼 같이 단일재로 만들어진 배
Terminal Box|단자함|여러 개의 단자가 모여있는 상자
Solid Frame|단재늑골|단일 혈강으로 구성된 늑골
Single Bottom|단저|내저판(Inner Bottom)이 없는 단저구조
Boat Deck|단정갑판|단정과 상가설비가 있는 갑판
Boat Davit|단정대빗|단정을 올리고 내리는 대빗
Boat Derrick|단정데릭|단정을 올리고 내리는 데릭장치
Forging|단조|금속재료(주로 철강)을 가열하여 두드리거나 압축하여 성형하는 가공법
Forging Hammer|단조 해머|증기나 압축공기의 힘으로 단조물을 계속 두드려주는 해머설비
Forging Machine|단조기|단조에 사용되는 기계로서 단조해머와 단조 프레스가 있음
Solid Plate Frame|단판늑골|대형군함의 이중저 내에 강화 설치된 늑판과 연결되는 늑골
Closed Chock|닫힌 촉|현측으로 나가는 로프 구멍에 붙인 쇠붙이로 위가 막혀있는 것
Lifting Beam|달아올림 보|기관실 천정에 장치하여 기기를 올리거나 내릴 때 사용하는 보
Quenched Steel|담금강|담금처리하여 강화된 철강
Quenching|담금질|변태온도나 포화용해온도 이상으로가열된 금속을 정해진 속도로 냉각시켜 원하는 성질의 조직을 얻기 위한 열처리방법
Fresh Water Load Line|담수만재흘수선|담수에서 허용되는 최대흘수선
Molases Tanker|당밀운반선|당밀을 비포장상태로 운반하는 선박
Foul Anchor|닻엉킴|닻을 내려놓은 상황에서 바람이나 조류에 의해 닻 고리 등이 닻줄과 엉켜 정상작동이 안되는 상태
Anchor Gear|닻장치|닻을 다루는 모든 기계장치의 총칭
Atmospheric Exhaust|대기배출|증기기계에서 일이 끝난 증기를 돌려보내지 않고 대기중으로 방출하는 것
Atmospheric Pressure|대기압|해변에서의 공기압으로 표준 대기압은 760mmHg 또는 1013hPa임
Convection|대류|유체의 일부가 밀도차에 의하여 이동하면서 열을 운반하여 전달하는 현상
Hemp Rope|대마로프|표백한 대마껍질섬유로 꼬아 만든 밧줄
Davit|대빗|선박에서 단정이나 닻 등을 달아 올리는 굽은 지팡이모양의 양하설비
Ice Strengthning Construction|대빙구조|빙해항해가 가능하도록 보호 강화된 구조
Spring Tide|대사리|보름을 지난 1~3일 간에 나타나는 간만차가 심한 때의 만조
Log Speed|대수속력|주변 물에 대한 배의 상대속력
Anti-torpedo Armament|대어뢰장갑판|어뢰공격에 대비하여 전함의 수선면 부근에 붙이는 장갑판
Anti-torpedo Boat Gun|대어뢰정포|어뢰정 공격에 대비하여 전함에 장착하는 포
Harbor Shelter|대피정박지|해상상태가 나쁠 때 배가 대피하여 정박하는 항구
Doubling|덧댐|선체의 강도와 수밀성을 높이기 위해 대는 덧판
Fishplaie|덧댐판|핸드레일 연결부에 붙이는 판
Flap Door|덮개문|문짝의 윗변에 힌지가 붙은 문
Strapped Joint|덮개판 이음|부재의 표면과 덮개판의 변두리를 필렛용접으로 연결하는 이음법
Deadwood|데드우드|선박의 선미재와 용골이 연결되는 부분
Dead Flat|데드플랫|선체 평행부(Parallel Part)와 동의어
Derrick|데릭|선박의 하역에 쓰이는 양하장치
Derrick Boom|데릭붐|데릭포스트에 붙어 화물을 올리거나 내리는데 사용되는 붐
Derrick Table|데릭테이블|갑판상 데릭장치가 설치된 대(플랫폼)
Decca System|데카방식|한 곳의 주국과 세 곳의 종국에서 받는 전파를 수신하여 그 위상차로서 자기위치를 찾는 쌍곡선항법방식
Plating|도금|금속표면에 다른금속을 얇게 입히는 것
Escape pipe|도출관|안전밸브 등에서 유체를 해방시키는 관
Docking Bracket|도킹브래킷|배가 독 바닥에 앉힐 때 하중을 분산시켜 선저가 상하지 않도록 일정간격으로 붙이는 브래킷
Doppler Log|도플러로그|수중에서 초음파의 도플러효과를 이용하여 선박의 상대속도와 항적을 측정하는 장치
Doppler Soner|도플러소너|수중에서 초음파의 도플러효과를 이용하여 선박의 각 방향의 상대속도와 항적을 측정하는 장치
Projecrion Weld|돌기용접|모재 접합면에 돌기를 만들고 상대방 모재와 겹쳐 전류를 통한 저항열에 의하여 가압접착시키는 용접방식
Boxing|돌림용접|겹친이음에서 겹쳐진 부재를 필렛용접으로 완전히 돌려서 하는 용접
Stone Carrier|돌운반선|석재를 운송하는 선박
Fife Rail|돌출난간|마스트 둘레 또는 주변 갑판상에 설치되는 난간
Jetty|돌출제방|육지에서 수중으로 달아낸 소규모의 부두 또는 선착장
Winter Load Line|동계만재흘수선|동기계절대에서 동기계절 동안에 허용되는 만재흘수선으로 W로 표시됨
Dynamometer|동력계|원동기의 동력을 측정하는 계기
Power House|동력실|동력 또는 증기발생에 필요한 장비 등을 갖춘 곳
Power Plant|동력장치|동력 또는 증기발생에 필요한 장비 등을 총칭함
Power Pump|동력펌프|동력전달을 위한 압력유체를 얻는 펌프
Stabilizer|동요감소장치|감요장치와 동의어
Back Piece|뒷댐부재|맞대기용접하는 두 판재의 용접 뒷면에 임시로 붙인 짧은 부재
Chill Strip|뒷댐편|맞대기용접하는 두 판재의 용접 뒷면에 용접선을 따라 붙이는 좁은 부재로 용접부와 함께 접합됨
Rootbend Test|뒷면굽힘시험|용접이음부에서 채취한 시험편을 용접 이면에 인장이 걸리도록 굽히는 형틀굽힘시험
Backing Weld|뒷면막기 용접|아크용접에서 용융금속이 뒷면으로 흘러 떨어지는 것을 막기 위해서 미리 행하는 뒷면용접
Duralumin|듀랄루민|Mg 0.5%를 포함한 Al-Cu-Mg계의 합금으로 가볍고 강도가 높아 항공기의 기체구조재료로 사용됨
Drag|드래그|가스절단면에서 절단기류의 입구점과 출구점 사이의 수평거리(처짐)
Drag Suction Hopper Dredger|드래그석션준설선|항주하면서 해저의 토사를 드래그헤드를 통하여 펌프로 빨아올려 머드박스에 저장하는 준설선
Drag Head|드래그헤드|준설토흡입관 끝에 달린 토사수 흡입장치
Dragging|드래깅|좁은 수역이나 조류가 빠른 곳에서 닻을 던져 닻이 해저에서 끌리는 저항력을 이용하여 유동을 억제하는 것
Drain Pipe|드레인 관|드레인을 뽑아내는 유출관
Drill|드릴|재료에 구멍을 뚫는 공구
Drill Machine|드릴머신|드릴을 부착하여 구멍을 뚫는 공작기계
Lighthouse Tender|등대 관리선|항로부표나 등대 등의 관리와 보급품수송 등에 종사하는 선박
Light Ship|등대선|등대설치가 어려운 곳이나 항구입구 등 항해상 중요한 곳에 고정계류하여 등대역할을 하도록 하는 소형선박
Registration|등록|선박이 선급단체에서 내항성 등을 인정받아 인증을 획득하는 절차
Light Bouy|등불부표|암초나 수심이 얕은 곳에 설치하여 피하게 하는 등불달린 부표
Light Beacon|등표|암초나 수심이 얕은 곳에 설치하여 피하게 하는 등불달린 표시로 부표가 아님
Disk Cutter|디스크커터|얇은 원판형의 절단공구
Diesel Generator|디젤발전기|디젤기관으로 돌아가는 발전기
Diesel Oil|디젤유|원유정제시에 330℃에서 얻어지는 중유
Diesel Electric Drive (Propulsion)|디젤전기추진|디젤기관으로 돌아가는 발전기가 내는 직류전기로 모터를 돌려 추진하는 배
Dipper Bucket|디퍼버킷|흙과 모래를 굴착하여 올리는 입이 열린 버킷
Dipper Dredger|디퍼준설선|디퍼버킷으로 해저토사를 굴착하여 옆에 붙은 토사운반선에 실어주는 준설선
Difrector|디프렉터|물분사추진장치의 노즐방향을 좌우로 변환시켜 타의 역할을 맡는 장치
Solder|땜납|납땜에 쓰이는 납합금
Soldering|땜질|320℃ 이하에서 용융되는 땜납을 녹여붙여 부품을 접합하는 방법
Intermittent Fillet Weld|띠엄 필렛용접(단속용접)|용접비드를 연속하지 않고 일정한 간격으로 띠어서 해 나가는 용접
Lounge|라운지|여객들이 담소나 오락 등을 즐기도록 안락의자를 배치한 공간
Lining|라이닝|마찰감소나 방식 등 의 목적으로 본체 표면에 고계통이나 합성수지로 입힌 것
Rider Keelson|라이더부용골|대형복제선에서 종강도를 높이기 위해 킬 위에 붙이는 킬슨
Rider Plate|라이더판|목선에서대용골 위에 붙여지는 수평 종판재
Rabbet|래빗|후판과 박판을 접합할 때 한 쪽 표면이 일치하도록 두꺼운 쪽을 따내고 겹쳐 끼워 접합하는 방법
